127.0.0.1 2024-02-18 11:27:12 "POST /login" HTTP/1.1 200 67 102µs "PostmanRuntime-ApipostRuntime/1.1.0"
127.0.0.1 2024-02-18 11:27:16 "POST /login" HTTP/1.1 200 67 47µs "PostmanRuntime-ApipostRuntime/1.1.0"
127.0.0.1 2024-02-18 11:27:26 "POST /login" HTTP/1.1 200 67 47µs "PostmanRuntime-ApipostRuntime/1.1.0"
127.0.0.1 2024-02-18 11:27:44 "POST /login" HTTP/1.1 200 384 2894µs "PostmanRuntime-ApipostRuntime/1.1.0"
127.0.0.1 2024-02-18 11:27:50 "POST /login" HTTP/1.1 200 384 2721µs "PostmanRuntime-ApipostRuntime/1.1.0"
127.0.0.1 2024-02-18 11:31:46 "POST /user/GetUserInfo" HTTP/1.1 401 40 1885µs "PostmanRuntime-ApipostRuntime/1.1.0"
::1 2024-02-18 11:33:09 "GET /user/getByUserList?page=1&pageSize=7&email=&userName=" HTTP/1.1 200 2114 8520µs "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 2024-02-18 11:33:09 "GET /user/getByUserList?page=1&pageSize=7&email=&userName=" HTTP/1.1 200 2114 5010µs "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 2024-02-18 11:33:12 "GET /user/getByUserId?id=18" HTTP/1.1 200 336 5993µs "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 2024-02-18 11:33:18 "POST /user/updateUser" HTTP/1.1 200 40 10274µs "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 2024-02-18 11:33:18 "GET /user/getByUserList?page=1&pageSize=7&email=&userName=" HTTP/1.1 200 2126 6062µs "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 2024-02-18 11:33:51 "GET /user/getByUserList?page=1&pageSize=7&email=&userName=" HTTP/1.1 200 2126 9242µs "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 2024-02-18 11:33:51 "GET /user/getByUserList?page=1&pageSize=7&email=&userName=" HTTP/1.1 200 2126 7903µs "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
